x,y,T,u,v,p
1.6,0,300,0.0883518,0.000820262,0.408651
1.6,0.05,300,0.179241,0.00335449,0.409332
1.6,0.05,300,0.179241,0.00335449,0.409332
1.6,0,300,0.0883518,0.000820262,0.408651
1.65,0,300,0.0854056,0.000798096,0.409731
1.65,0.05,300,0.173635,0.00326478,0.410394
1.65,0.05,300,0.173635,0.00326478,0.410394
1.65,0,300,0.0854056,0.000798096,0.409731
1.7,0,300,0.0825355,0.000777965,0.410921
1.7,0.05,300,0.168171,0.00318376,0.411567
1.7,0.05,300,0.168171,0.00318376,0.411567
1.7,0,300,0.0825355,0.000777965,0.410921
1.75,0,300,0.0797343,0.000759618,0.412217
1.75,0.05,300,0.162835,0.00311042,0.412849
1.75,0.05,300,0.162835,0.00311042,0.412849
1.75,0,300,0.0797343,0.000759618,0.412217
1.8,0,300,0.0769954,0.000742829,0.413617
1.8,0.05,300,0.157615,0.00304386,0.414236
1.8,0.05,300,0.157615,0.00304386,0.414236
1.8,0,300,0.0769954,0.000742829,0.413617
1.85,0,300,0.0743132,0.000727399,0.415116
1.85,0.05,300,0.152498,0.00298328,0.415723
1.85,0.05,300,0.152498,0.00298328,0.415723
1.85,0,300,0.0743132,0.000727399,0.415116
1.9,0,300,0.0716826,0.000713146,0.416712
1.9,0.05,300,0.147477,0.00292795,0.417308
1.9,0.05,300,0.147477,0.00292795,0.417308
1.9,0,300,0.0716826,0.000713146,0.416712
1.95,0,300,0.0690994,0.000699908,0.4184
1.95,0.05,300,0.142541,0.00287722,0.418986
1.95,0.05,300,0.142541,0.00287722,0.418986
1.95,0,300,0.0690994,0.000699908,0.4184
2,0,300,0.0665596,0.000687537,0.420177
2,0.05,300,0.137684,0.00283049,0.420754
2,0.05,300,0.137684,0.00283049,0.420754
2,0,300,0.0665596,0.000687537,0.420177
2.05,0,300,0.0640597,0.000675894,0.42204
2.05,0.05,300,0.132898,0.00278722,0.42261
2.05,0.05,300,0.132898,0.00278722,0.42261
2.05,0,300,0.0640597,0.000675894,0.42204
2.1,0,300,0.061597,0.000664855,0.423987
2.1,0.05,300,0.128179,0.0027469,0.424549
2.1,0.05,300,0.128179,0.0027469,0.424549
2.1,0,300,0.061597,0.000664855,0.423987
2.15,0,300,0.0591692,0.000654304,0.426013
2.15,0.05,300,0.12352,0.00270906,0.426569
2.15,0.05,300,0.12352,0.00270906,0.426569
2.15,0,300,0.0591692,0.000654304,0.426013
2.2,0,300,0.056774,0.000644131,0.428117
2.2,0.05,300,0.118918,0.00267327,0.428666
2.2,0.05,300,0.118918,0.00267327,0.428666
2.2,0,300,0.056774,0.000644131,0.428117
2.25,0,300,0.0544099,0.000634236,0.430292
2.25,0.05,300,0.114368,0.00263912,0.430836
2.25,0.05,300,0.114368,0.00263912,0.430836
2.25,0,300,0.0544099,0.000634236,0.430292
2.3,0,300,0.0520755,0.000624524,0.432537
2.3,0.05,300,0.109869,0.00260621,0.433076
2.3,0.05,300,0.109869,0.00260621,0.433076
2.3,0,300,0.0520755,0.000624524,0.432537
2.35,0,300,0.0497699,0.000614907,0.434848
2.35,0.05,300,0.105418,0.00257419,0.435381
2.35,0.05,300,0.105418,0.00257419,0.435381
2.35,0,300,0.0497699,0.000614907,0.434848
2.4,0,300,0.0474925,0.000605302,0.43722
2.4,0.05,300,0.101013,0.0025427,0.437748
2.4,0.05,300,0.101013,0.0025427,0.437748
2.4,0,300,0.0474925,0.000605302,0.43722
2.45,0,300,0.0452429,0.000595631,0.439649
2.45,0.05,300,0.0966524,0.00251141,0.440173
2.45,0.05,300,0.0966524,0.00251141,0.440173
2.45,0,300,0.0452429,0.000595631,0.439649
2.5,0,300,0.043021,0.000585822,0.442132
2.5,0.05,300,0.0923368,0.00248002,0.442652
2.5,0.05,300,0.0923368,0.00248002,0.442652
2.5,0,300,0.043021,0.000585822,0.442132
2.55,0,300,0.0408271,0.000575806,0.444663
2.55,0.05,300,0.0880656,0.00244822,0.445179
2.55,0.05,300,0.0880656,0.00244822,0.445179
2.55,0,300,0.0408271,0.000575806,0.444663
2.6,0,300,0.0386617,0.000565522,0.44724
2.6,0.05,300,0.0838393,0.00241573,0.44775
2.6,0.05,300,0.0838393,0.00241573,0.44775
2.6,0,300,0.0386617,0.000565522,0.44724
2.65,0,300,0.0365254,0.000554911,0.449856
2.65,0.05,300,0.0796592,0.00238229,0.450361
2.65,0.05,300,0.0796592,0.00238229,0.450361
2.65,0,300,0.0365254,0.000554911,0.449856
2.7,0,300,0.0344191,0.000543923,0.452506
2.7,0.05,300,0.0755266,0.00234764,0.453007
2.7,0.05,300,0.0755266,0.00234764,0.453007
2.7,0,300,0.0344191,0.000543923,0.452506
2.75,0,300,0.0323442,0.00053251,0.455187
2.75,0.05,300,0.0714431,0.00231156,0.455682
2.75,0.05,300,0.0714431,0.00231156,0.455682
2.75,0,300,0.0323442,0.00053251,0.455187
2.8,0,300,0.0303019,0.000520631,0.457891
2.8,0.05,300,0.0674114,0.00227383,0.458381
2.8,0.05,300,0.0674114,0.00227383,0.458381
2.8,0,300,0.0303019,0.000520631,0.457891
2.85,0,300,0.0282938,0.00050825,0.460615
2.85,0.05,300,0.0634345,0.00223424,0.461099
2.85,0.05,300,0.0634345,0.00223424,0.461099
2.85,0,300,0.0282938,0.00050825,0.460615
2.9,0,300,0.0263216,0.000495336,0.463353
2.9,0.05,300,0.059515,0.00219261,0.46383
2.9,0.05,300,0.059515,0.00219261,0.46383
2.9,0,300,0.0263216,0.000495336,0.463353
2.95,0,300,0.0243872,0.000481869,0.466098
2.95,0.05,300,0.0556565,0.0021488,0.466568
2.95,0.05,300,0.0556565,0.0021488,0.466568
2.95,0,300,0.0243872,0.000481869,0.466098
3,0,300,0.0224927,0.000467828,0.468844
3,0.05,300,0.051863,0.00210265,0.469308
3,0.05,300,0.051863,0.00210265,0.469308
3,0,300,0.0224927,0.000467828,0.468844
3.05,0,300,0.02064,0.000453204,0.471587
3.05,0.05,300,0.0481384,0.00205406,0.472043
3.05,0.05,300,0.0481384,0.00205406,0.472043
3.05,0,300,0.02064,0.000453204,0.471587
3.1,0,300,0.0188316,0.000437993,0.47432
3.1,0.05,300,0.044487,0.00200291,0.474768
3.1,0.05,300,0.044487,0.00200291,0.474768
3.1,0,300,0.0188316,0.000437993,0.47432
3.15,0,300,0.0170697,0.000422195,0.477037
3.15,0.05,300,0.0409135,0.00194915,0.477477
3.15,0.05,300,0.0409135,0.00194915,0.477477
3.15,0,300,0.0170697,0.000422195,0.477037
3.2,0,300,0.0153567,0.000405818,0.479733
3.2,0.05,300,0.0374226,0.00189272,0.480163
3.2,0.05,300,0.0374226,0.00189272,0.480163
3.2,0,300,0.0153567,0.000405818,0.479733
3.25,0,300,0.0136948,0.000388872,0.4824
3.25,0.05,300,0.0340192,0.00183358,0.48282
3.25,0.05,300,0.0340192,0.00183358,0.48282
3.25,0,300,0.0136948,0.000388872,0.4824
3.3,0,300,0.0120867,0.000371375,0.485034
3.3,0.05,300,0.0307084,0.00177172,0.485444
3.3,0.05,300,0.0307084,0.00177172,0.485444
3.3,0,300,0.0120867,0.000371375,0.485034
3.35,0,300,0.0105347,0.000353349,0.487629
3.35,0.05,300,0.0274953,0.00170716,0.488026
3.35,0.05,300,0.0274953,0.00170716,0.488026
3.35,0,300,0.0105347,0.000353349,0.487629
3.4,0,300,0.00904123,0.000334819,0.490177
3.4,0.05,300,0.024385,0.00163991,0.490563
3.4,0.05,300,0.024385,0.00163991,0.490563
3.4,0,300,0.00904123,0.000334819,0.490177
3.45,0,300,0.00760868,0.000315817,0.492675
3.45,0.05,300,0.0213827,0.00157004,0.493048
3.45,0.05,300,0.0213827,0.00157004,0.493048
3.45,0,300,0.00760868,0.000315817,0.492675
3.5,0,300,0.00623937,0.000296393,0.495116
3.5,0.05,300,0.0184936,0.00149766,0.495476
3.5,0.05,300,0.0184936,0.00149766,0.495476
3.5,0,300,0.00623937,0.000296393,0.495116
3.55,0,300,0.00493549,0.000276623,0.497496
3.55,0.05,300,0.0157227,0.00142293,0.497842
3.55,0.05,300,0.0157227,0.00142293,0.497842
3.55,0,300,0.00493549,0.000276623,0.497496
3.6,0,300.002,0.00369906,0.000256625,0.49981
3.6,0.05,300.002,0.0130749,0.00134612,0.500142
3.6,0.05,300.002,0.0130749,0.00134612,0.500142
3.6,0,300.002,0.00369906,0.000256625,0.49981
3.65,0,300.005,0.00253178,0.000236564,0.502052
3.65,0.05,300.005,0.0105545,0.00126759,0.502369
3.65,0.05,300.005,0.0105545,0.00126759,0.502369
3.65,0,300.005,0.00253178,0.000236564,0.502052
3.7,0,300.015,0.00143501,0.000216647,0.50422
3.7,0.05,300.013,0.00816593,0.0011877,0.50452
3.7,0.05,300.013,0.00816593,0.0011877,0.50452
3.7,0,300.015,0.00143501,0.000216647,0.50422
3.75,0,300.039,0.000409756,0.00019707,0.506308
3.75,0.05,300.035,0.00591296,0.0011067,0.506593
3.75,0.05,300.035,0.00591296,0.0011067,0.506593
3.75,0,300.039,0.000409756,0.00019707,0.506308
3.8,0,300.098,-0.000543066,0.000177902,0.508317
3.8,0.05,300.088,0.00379983,0.00102431,0.508583
3.8,0.05,300.088,0.00379983,0.00102431,0.508583
3.8,0,300.098,-0.000543066,0.000177902,0.508317
3.85,0,300.226,-0.00142199,0.000158894,0.510242
3.85,0.05,300.207,0.00183207,0.000939247,0.51049
3.85,0.05,300.207,0.00183207,0.000939247,0.51049
3.85,0,300.226,-0.00142199,0.000158894,0.510242
3.9,0,300.495,-0.0022238,0.0001392,0.512085
3.9,0.05,300.46,1.85E-05,0.00084849,0.512312
3.9,0.05,300.46,1.85E-05,0.00084849,0.512312
3.9,0,300.495,-0.0022238,0.0001392,0.512085
3.95,0,301.022,-0.00294155,0.000117075,0.513847
3.95,0.05,300.965,-0.00162623,0.000746612,0.51405
3.95,0.05,300.965,-0.00162623,0.000746612,0.51405
3.95,0,301.022,-0.00294155,0.000117075,0.513847
4,0,301.989,-0.00356215,8.96E-05,0.515528
4,0.05,301.907,-0.00307772,0.000625382,0.515704
4,0.05,301.907,-0.00307772,0.000625382,0.515704
4,0,301.989,-0.00356215,8.96E-05,0.515528
4.05,0,303.661,-0.00406372,5.29E-05,0.51713
4.05,0.05,303.553,-0.00429889,0.000474083,0.517275
4.05,0.05,303.553,-0.00429889,0.000474083,0.517275
4.05,0,303.661,-0.00406372,5.29E-05,0.51713
4.1,0,306.4,-0.00441364,2.15E-06,0.518651
4.1,0.05,306.273,-0.0052378,0.000281102,0.518758
4.1,0.05,306.273,-0.0052378,0.000281102,0.518758
4.1,0,306.4,-0.00441364,2.15E-06,0.518651
4.15,0,310.677,-0.00456878,-6.69E-05,0.520081
4.15,0.05,310.541,-0.00582907,3.73E-05,0.520144
4.15,0.05,310.541,-0.00582907,3.73E-05,0.520144
4.15,0,310.677,-0.00456878,-6.69E-05,0.520081
4.2,0,317.099,-0.00447966,-0.000156081,0.521397
4.2,0.05,316.962,-0.00600133,-0.000258557,0.521414
4.2,0.05,316.962,-0.00600133,-0.000258557,0.521414
4.2,0,317.099,-0.00447966,-0.000156081,0.521397
4.25,0,326.447,-0.00410145,-0.000261485,0.522564
4.25,0.05,326.306,-0.00569355,-0.000591142,0.522536
4.25,0.05,326.306,-0.00569355,-0.000591142,0.522536
4.25,0,326.447,-0.00410145,-0.000261485,0.522564
4.3,0,339.729,-0.00341293,-0.000368162,0.523531
4.3,0.05,339.569,-0.00488164,-0.000917358,0.523464
4.3,0.05,339.569,-0.00488164,-0.000917358,0.523464
4.3,0,339.729,-0.00341293,-0.000368162,0.523531
4.35,0,358.259,-0.00244639,-0.000443108,0.524235
4.35,0.05,358.046,-0.00361628,-0.0011524,0.524145
4.35,0.05,358.046,-0.00361628,-0.0011524,0.524145
4.35,0,358.259,-0.00244639,-0.000443108,0.524235
4.4,0,383.69,-0.00134482,-0.00042729,0.52461
4.4,0.05,383.384,-0.00209599,-0.00115757,0.524519
4.4,0.05,383.384,-0.00209599,-0.00115757,0.524519
4.4,0,383.69,-0.00134482,-0.00042729,0.52461
4.45,0,417.901,-0.000459687,-0.00025678,0.524625
4.45,0.05,417.484,-0.000792342,-0.000772112,0.524539
4.45,0.05,417.484,-0.000792342,-0.000772112,0.524539
4.45,0,417.901,-0.000459687,-0.00025678,0.524625
4.5,0,449.941,-6.59E-05,-6.31E-05,0.524543
4.5,0.05,461.972,0,0,0.524457
4.5,0.05,461.972,0,0,0.524457
4.5,0,449.941,-6.59E-05,-6.31E-05,0.524543
0,0.1,300,1,0,0.803094
0,0.1,300,1,0,0.803094
0.05,0.1,300,1.02564,0.116793,0.76589
0.05,0.1,300,1.02564,0.116793,0.76589
0.1,0.1,300,1.05768,0.161083,0.689593
0.1,0.1,300,1.05768,0.161083,0.689593
0.15,0.1,300,1.06207,0.165479,0.620653
0.15,0.1,300,1.06207,0.165479,0.620653
0.2,0.1,300,1.0398,0.153283,0.568947
0.2,0.1,300,1.0398,0.153283,0.568947
0.25,0.1,300,1.00241,0.134348,0.530532
0.25,0.1,300,1.00241,0.134348,0.530532
0.3,0.1,300,0.958201,0.113778,0.501535
0.3,0.1,300,0.958201,0.113778,0.501535
0.35,0.1,300,0.911612,0.0947768,0.479971
0.35,0.1,300,0.911612,0.0947768,0.479971
0.4,0.1,300,0.865458,0.0787852,0.464153
0.4,0.1,300,0.865458,0.0787852,0.464153
0.45,0.1,300,0.821569,0.0659598,0.452417
0.45,0.1,300,0.821569,0.0659598,0.452417
0.5,0.1,300,0.780858,0.0558766,0.443457
0.5,0.1,300,0.780858,0.0558766,0.443457
0.55,0.1,300,0.743563,0.0479763,0.436412
0.55,0.1,300,0.743563,0.0479763,0.436412
0.6,0.1,300,0.709552,0.0417478,0.430743
0.6,0.1,300,0.709552,0.0417478,0.430743
0.65,0.1,300,0.678539,0.0367808,0.426102
0.65,0.1,300,0.678539,0.0367808,0.426102
0.7,0.1,300,0.650195,0.0327662,0.422259
0.7,0.1,300,0.650195,0.0327662,0.422259
0.75,0.1,300,0.6242,0.0294775,0.419055
0.75,0.1,300,0.6242,0.0294775,0.419055
0.8,0.1,300,0.600256,0.02675,0.416378
0.8,0.1,300,0.600256,0.02675,0.416378
0.85,0.1,300,0.578106,0.0244629,0.414146
0.85,0.1,300,0.578106,0.0244629,0.414146
0.9,0.1,300,0.557522,0.0225262,0.412297
0.9,0.1,300,0.557522,0.0225262,0.412297
0.95,0.1,300,0.538311,0.0208723,0.41078
0.95,0.1,300,0.538311,0.0208723,0.41078
1,0.1,300,0.520306,0.019449,0.409559
1,0.1,300,0.520306,0.019449,0.409559
1.05,0.1,300,0.503363,0.0182162,0.408602
1.05,0.1,300,0.503363,0.0182162,0.408602
1.1,0.1,300,0.48736,0.0171421,0.407883
1.1,0.1,300,0.48736,0.0171421,0.407883
1.15,0.1,300,0.472188,0.0162016,0.407381
1.15,0.1,300,0.472188,0.0162016,0.407381
1.2,0.1,300,0.457755,0.0153742,0.40708
1.2,0.1,300,0.457755,0.0153742,0.40708
1.25,0.1,300,0.44398,0.0146436,0.406965
1.25,0.1,300,0.44398,0.0146436,0.406965
1.3,0.1,300,0.430793,0.0139962,0.407021
1.3,0.1,300,0.430793,0.0139962,0.407021
1.35,0.1,300,0.41813,0.0134209,0.407241
1.35,0.1,300,0.41813,0.0134209,0.407241
1.4,0.1,300,0.405937,0.0129081,0.407612
1.4,0.1,300,0.405937,0.0129081,0.407612
1.45,0.1,300,0.394166,0.0124502,0.408128
1.45,0.1,300,0.394166,0.0124502,0.408128
1.5,0.1,300,0.382773,0.0120403,0.408782
1.5,0.1,300,0.382773,0.0120403,0.408782
1.55,0.1,300,0.371721,0.0116728,0.409568
1.55,0.1,300,0.371721,0.0116728,0.409568
1.6,0.1,300,0.360974,0.0113427,0.410478
1.6,0.1,300,0.360974,0.0113427,0.410478
1.65,0.1,300,0.350502,0.0110459,0.411509
1.65,0.1,300,0.350502,0.0110459,0.411509
1.7,0.1,300,0.340278,0.0107784,0.412655
1.7,0.1,300,0.340278,0.0107784,0.412655
1.75,0.1,300,0.330278,0.010537,0.413912
1.75,0.1,300,0.330278,0.010537,0.413912
1.8,0.1,300,0.320477,0.0103189,0.415276
1.8,0.1,300,0.320477,0.0103189,0.415276
1.85,0.1,300,0.310858,0.0101214,0.416744
1.85,0.1,300,0.310858,0.0101214,0.416744
