x,y,z,u,v,T,p
6.43245,2.41722,0.5,1.51838,0.0192851,300,-0.270863
3.04892,3.04863,0.5,1.13266,0.0930277,300,0.184441
3.91825,4.81701,0.5,0.655361,0.000453769,300,0.081712
3.35947,2.52636,0.5,1.15164,0.158064,300,0.172682
6.91685,3.87649,0.5,1.38739,-0.055378,300,-0.120727
6.50041,2.58205,0.5,1.49564,0.00595373,300,-0.249012
2.01731,1.4962,0.5,1.04051,0.116744,300,0.348437
0.259288,0.379564,0.5,1.04161,0.0780769,300,0.500778
6.39324,3.69251,0.5,1.38246,-0.0224545,300,-0.12108
7.0657,3.50876,0.5,1.40421,-0.0617285,300,-0.153068
4.23198,0.610746,0.5,0.237685,0.193097,300.492,0.517876
2.42253,3.66446,0.5,1.10817,0.0276214,300,0.214985
9.67047,2.5653,0.5,1.28461,-0.290281,300,-0.0495504
0.119631,1.44833,0.5,1.00033,0.00788146,300,0.390471
5.78677,1.3768,0.5,1.11989,0.05271,304.801,-0.459636
4.15666,4.48656,0.5,1.21228,0.00387422,300,0.0630236
9.28511,0.451635,0.5,0.125356,-0.279829,303.489,-0.259585
3.87479,0.351087,0.5,0.187997,0.0636767,300.011,0.513939
1.85321,1.65598,0.5,1.03627,0.101709,300,0.34219
8.56485,0.965666,0.5,0.729398,-0.29592,303.771,-0.644006
6.34747,4.05281,0.5,1.37399,-0.0301819,300,-0.0948455
2.41506,1.25065,0.5,1.04903,0.153521,300,0.360597
2.73347,1.57377,0.5,1.06317,0.177445,300,0.317708
8.7096,1.0613,0.5,0.949942,-0.384182,304.218,-0.579474
9.93972,0.685987,0.5,0.859082,-0.563837,301.549,-0.0176295
0.041258,4.86166,0.5,1.01552,-0.073064,300,0.596325
2.43486,0.0546433,0.5,0.107714,0.0028787,300,0.439534
3.99386,1.77548,0.5,1.23083,0.341512,300,0.0913636
3.99561,4.39629,0.5,1.24553,0.00693519,300,0.0759634
5.8226,3.16476,0.5,1.3935,0.036006,300,-0.135511
5.96335,1.14187,0.5,0.254348,-0.0026521,326.115,-0.461798
3.42654,4.86169,0.5,0.517679,8.25E-05,300,0.118083
2.24376,4.46849,0.5,1.17525,-0.0240714,300,0.203777
2.34495,1.47975,0.5,1.04847,0.142524,300,0.341351
6.54864,2.98978,0.5,1.44348,-0.0124412,300,-0.196139
7.4891,1.15061,0.5,0.733833,0.0510947,302.813,-0.655912
2.12218,2.32762,0.5,1.05408,0.0930653,300,0.290428
3.68973,0.47096,0.5,0.445984,0.135052,300,0.502698
3.68873,1.62663,0.5,1.14967,0.320177,300,0.201225
1.67618,3.13455,0.5,1.04729,0.0339795,300,0.27801
3.37447,3.23348,0.5,1.16464,0.0879872,300,0.145831
5.53787,2.01965,0.5,1.54766,0.145528,300.001,-0.29277
3.96336,3.69028,0.5,1.22486,0.0563093,300,0.0786913
9.18375,0.925056,0.5,0.894564,-0.504995,303.309,-0.36834
7.99529,3.31314,0.5,1.40363,-0.13367,300,-0.158439
9.04188,1.79639,0.5,1.4691,-0.434394,300.015,-0.261159
5.84687,1.11045,0.5,0.182088,0.0100362,329.496,-0.471973
