x,y,T,u,v,p
4.25,0.55,301.261,0.166465,0.135602,0.524212
4.25,0.6,300.79,0.209893,0.179786,0.519965
4.25,0.65,300.492,0.259483,0.231139,0.512153
4.25,0.7,300.304,0.315868,0.289271,0.499242
4.25,0.75,300.187,0.379875,0.353234,0.479413
4.25,0.8,300.114,0.4525,0.421263,0.450716
4.25,0.85,300.068,0.534711,0.490456,0.411427
4.25,0.9,300.04,0.626933,0.556499,0.360717
4.25,0.95,300.023,0.72818,0.613812,0.299666
4.25,1,300.013,0.83477,0.656614,0.232186
4.3,0,339.729,-0.00341293,-0.000368162,0.523531
4.3,0.05,339.569,-0.00488164,-0.000917358,0.523464
4.3,0.1,338.472,-0.00621076,-0.00205883,0.523472
4.3,0.15,335.667,-0.00448728,-0.00271324,0.523739
4.3,0.2,331.105,0.00008086,-0.00182889,0.524225
4.3,0.25,325.479,0.00749154,0.00152463,0.524909
4.3,0.3,319.795,0.0178914,0.00825609,0.525761
4.3,0.35,314.74,0.031533,0.0192778,0.526703
4.3,0.4,310.643,0.0487391,0.0354904,0.527581
4.3,0.45,307.523,0.0698776,0.0577634,0.528127
4.3,0.5,305.241,0.0953578,0.0869111,0.527904
4.3,0.55,303.614,0.125651,0.123662,0.526245
4.3,0.6,302.473,0.161342,0.168616,0.522184
4.3,0.65,301.68,0.203205,0.222176,0.51437
4.3,0.7,301.133,0.252321,0.284433,0.501001
4.3,0.75,300.758,0.310208,0.354959,0.479775
4.3,0.8,300.5,0.378955,0.432413,0.447954
4.3,0.85,300.324,0.46113,0.513934,0.402712
4.3,0.9,300.205,0.559207,0.594304,0.341961
4.3,0.95,300.126,0.673286,0.665404,0.26607
4.3,1,300.074,0.800534,0.717401,0.179872
4.35,0,358.259,-0.00244639,-0.000443108,0.524235
4.35,0.05,358.046,-0.00361628,-0.0011524,0.524145
4.35,0.1,356.828,-0.00486978,-0.00277525,0.524132
4.35,0.15,353.853,-0.0040674,-0.00422817,0.524424
4.35,0.2,348.991,-0.00136129,-0.00446479,0.524974
4.35,0.25,342.605,0.00325215,-0.00257301,0.525756
4.35,0.3,335.484,0.00990868,0.0023581,0.526738
4.35,0.35,328.527,0.0188453,0.0112856,0.527835
4.35,0.4,322.369,0.0303788,0.0252088,0.528892
4.35,0.45,317.238,0.0448912,0.0451598,0.529634
4.35,0.5,313.12,0.0628269,0.0721935,0.529616
